domain,module,difficulty,cc_present,loc,has_legacy_algo,has_ui,has_config,cc_path
Fields,CreateStructHex,easy,1,167,0,0,0,src/Modules/Legacy/Fields/CreateStructHex.cc
Fields,GenerateMedialAxisPoints,easy,1,109,0,0,0,src/Modules/Legacy/Fields/GenerateMedialAxisPoints.cc
Fields,GetAllSegmentationBoundaries,easy,1,80,0,0,0,src/Modules/Legacy/Fields/GetAllSegmentationBoundaries.cc
Fields,GetDomainStructure,easy,1,78,0,0,0,src/Modules/Legacy/Fields/GetDomainStructure.cc
Fields,MatchDomainLabels,easy,1,79,0,0,0,src/Modules/Legacy/Fields/MatchDomainLabels.cc
Fields,PadRegularMesh,easy,1,89,0,0,0,src/Modules/Legacy/Fields/PadRegularMesh.cc
Fields,SetFieldProperty,easy,1,56,0,0,0,src/Modules/Legacy/Fields/SetFieldProperty.cc
Fields,SplitNodesByDomain,easy,1,85,0,0,0,src/Modules/Legacy/Fields/SplitNodesByDomain.cc
Fields,SwapNodeLocationsWithMatrixEntries,easy,1,127,0,0,0,src/Modules/Legacy/Fields/SwapNodeLocationsWithMatrixEntries.cc
Fields,TransformPlanarMesh,easy,1,138,0,0,0,src/Modules/Legacy/Fields/TransformPlanarMesh.cc
FiniteElements,BuildFEGridMapping,easy,1,92,0,0,0,src/Modules/Legacy/FiniteElements/BuildFEGridMapping.cc
FiniteElements,BuildFEGridMappingByDomain,easy,1,94,0,0,0,src/Modules/Legacy/FiniteElements/BuildFEGridMappingByDomain.cc
FiniteElements,DefinePeriodicBoundaries,easy,1,98,0,0,0,src/Modules/Legacy/FiniteElements/DefinePeriodicBoundaries.cc
Math,AppendMatrix,easy,1,96,0,1,0,src/Modules/Legacy/Math/AppendMatrix.cc
Math,ChooseMatrix,easy,1,58,0,0,0,src/Modules/Legacy/Math/ChooseMatrix.cc
Math,ConvertMappingMatrixToMaskVector,easy,1,104,0,0,0,src/Modules/Legacy/Math/ConvertMappingMatrixToMaskVector.cc
Math,ConvertMaskVectorToMappingMatrix,easy,1,102,0,0,0,src/Modules/Legacy/Math/ConvertMaskVectorToMappingMatrix.cc
Math,CreateMatrix,easy,1,112,0,1,0,src/Modules/Legacy/Math/CreateMatrix.cc
Math,CreateScalarMatrix,easy,1,77,0,0,0,src/Modules/Legacy/Math/CreateScalarMatrix.cc
Math,GetSubmatrix,easy,1,160,0,0,0,src/Modules/Legacy/Math/GetSubmatrix.cc
Math,RemoveZeroRowsAndColumns,easy,1,96,0,0,0,src/Modules/Legacy/Math/RemoveZeroRowsAndColumns.cc
Math,RemoveZerosFromMatrix,easy,1,95,0,0,0,src/Modules/Legacy/Math/RemoveZerosFromMatrix.cc
Math,ReorderMatrixByCuthillMcKee,easy,1,76,0,0,0,src/Modules/Legacy/Math/ReorderMatrixByCuthillMcKee.cc
Math,ReorderMatrixByReverseCuthillMcKee,easy,1,74,0,0,0,src/Modules/Legacy/Math/ReorderMatrixByReverseCuthillMcKee.cc
Math,ReportMatrixColumnMeasure,easy,1,76,0,0,0,src/Modules/Legacy/Math/ReportMatrixColumnMeasure.cc
Math,ReportMatrixInfo,easy,1,176,0,1,0,src/Modules/Legacy/Math/ReportMatrixInfo.cc
Math,ReportMatrixRowMeasure,easy,1,75,0,0,0,src/Modules/Legacy/Math/ReportMatrixRowMeasure.cc
Math,ReportRootMeanSquareError,easy,1,145,0,0,0,src/Modules/Legacy/Math/ReportRootMeanSquareError.cc
Math,ResizeMatrix,easy,1,97,1,1,1,src/Modules/Legacy/Math/ResizeMatrix.cc
Math,SortMatrix,easy,1,79,1,1,0,src/Modules/Legacy/Math/SortMatrix.cc
Matlab/DataIO/Tests,ExportDatatypesFromMatlabTests,easy,1,47,0,0,0,src/Modules/Legacy/Matlab/DataIO/Tests/ExportDatatypesFromMatlabTests.cc
String,ChooseString,easy,1,51,0,0,0,src/Modules/Legacy/String/ChooseString.cc
String,CreateString,easy,1,88,0,1,0,src/Modules/Legacy/String/CreateString.cc
String,GetFileName,easy,1,160,0,0,0,src/Modules/Legacy/String/GetFileName.cc
Bundle,CreateParameterBundle,medium,1,295,0,0,0,src/Modules/Legacy/Bundle/CreateParameterBundle.cc
Fields,BuildPointCloudToLatVolMappingMatrix,medium,1,206,0,0,0,src/Modules/Legacy/Fields/BuildPointCloudToLatVolMappingMatrix.cc
Fields,ClipFieldToFieldOrWidget,hard,1,548,0,0,0,src/Modules/Legacy/Fields/ClipFieldToFieldOrWidget.cc
Fields,ClipLatVolByIndicesOrWidget,medium,1,401,0,0,0,src/Modules/Legacy/Fields/ClipLatVolByIndicesOrWidget.cc
Fields,CoregisterPointClouds,medium,1,221,0,0,0,src/Modules/Legacy/Fields/CoregisterPointClouds.cc
Fields,EditMeshBoundingBox,hard,1,665,0,1,0,src/Modules/Legacy/Fields/EditMeshBoundingBox.cc
Fields,ExtractIsosurfaceByFunction,hard,1,582,0,0,0,src/Modules/Legacy/Fields/ExtractIsosurfaceByFunction.cc
Fields,GenerateLinearSegments,medium,1,237,0,0,0,src/Modules/Legacy/Fields/GenerateLinearSegments.cc
Fields,InsertHexVolSheetAlongSurface,hard,1,1880,0,0,0,src/Modules/Legacy/Fields/InsertHexVolSheetAlongSurface.cc
Fields,MaskLatVolWithTriSurf,medium,1,210,0,0,0,src/Modules/Legacy/Fields/MaskLatVolWithTriSurf.cc
Fields,MergeFields,hard,1,720,0,0,0,src/Modules/Legacy/Fields/MergeFields.cc
Fields,QueryFieldData,medium,1,348,0,0,0,src/Modules/Legacy/Fields/QueryFieldData.cc
Fields,RemoveHexVolSheet,hard,1,534,0,0,0,src/Modules/Legacy/Fields/RemoveHexVolSheet.cc
Fields,SelectAndSetFieldData,medium,1,220,0,0,0,src/Modules/Legacy/Fields/SelectAndSetFieldData.cc
Fields,SelectAndSetFieldData3,medium,1,250,0,0,0,src/Modules/Legacy/Fields/SelectAndSetFieldData3.cc
Fields,SelectFieldROIWithBoxWidget,medium,1,234,0,0,0,src/Modules/Legacy/Fields/SelectFieldROIWithBoxWidget.cc
Fields,SubsampleStructuredFieldByIndices,hard,1,597,0,0,0,src/Modules/Legacy/Fields/SubsampleStructuredFieldByIndices.cc
Math,CreateGeometricTransform,medium,1,333,0,1,1,src/Modules/Legacy/Math/CreateGeometricTransform.cc
Math,EvaluateLinAlgBinary,medium,1,263,0,0,0,src/Modules/Legacy/Math/EvaluateLinAlgBinary.cc
Math,EvaluateLinAlgUnary,medium,1,230,0,0,0,src/Modules/Legacy/Math/EvaluateLinAlgUnary.cc
Math,GetColumnOrRowFromMatrix,hard,1,554,0,0,0,src/Modules/Legacy/Math/GetColumnOrRowFromMatrix.cc
Math,SolveLinearSystem,medium,1,320,1,1,0,src/Modules/Legacy/Math/SolveLinearSystem.cc
Matlab/DataIO,ExportDatatypesToMatlab,medium,1,427,0,0,0,src/Modules/Legacy/Matlab/DataIO/ExportDatatypesToMatlab.cc
Teem/Misc,BuildNrrdGradient,from-scratch,0,0,0,0,0,
Teem/Misc,BuildNrrdGradientAndMagnitude,from-scratch,0,0,0,0,0,
Teem/Misc,ChooseNrrd,from-scratch,0,0,0,0,0,
Teem/Misc,ClassifyHeadTissuesFromMultiMRI,from-scratch,0,0,0,0,0,
Teem/Misc,SelectTimeStepFromNrrd,from-scratch,0,0,0,0,0,
Teem/Misc,SetNrrdProperty,from-scratch,0,0,0,0,0,
Teem/Tend,TendAnhist,from-scratch,0,0,0,0,0,
Teem/Tend,TendAnplot,from-scratch,0,0,0,0,0,
Teem/Tend,TendAnscale,from-scratch,0,0,0,0,0,
Teem/Tend,TendAnvol,from-scratch,0,0,0,0,0,
Teem/Tend,TendBmat,from-scratch,0,0,0,0,0,
Teem/Tend,TendEpireg,from-scratch,0,0,0,0,0,
Teem/Tend,TendEstim,from-scratch,0,0,0,0,0,
Teem/Tend,TendEval,from-scratch,0,0,0,0,0,
Teem/Tend,TendEvalAdd,from-scratch,0,0,0,0,0,
Teem/Tend,TendEvalClamp,from-scratch,0,0,0,0,0,
Teem/Tend,TendEvalPow,from-scratch,0,0,0,0,0,
Teem/Tend,TendEvec,from-scratch,0,0,0,0,0,
Teem/Tend,TendEvecRGB,from-scratch,0,0,0,0,0,
Teem/Tend,TendEvq,from-scratch,0,0,0,0,0,
Teem/Tend,TendExpand,from-scratch,0,0,0,0,0,
Teem/Tend,TendMake,from-scratch,0,0,0,0,0,
Teem/Tend,TendNorm,from-scratch,0,0,0,0,0,
Teem/Tend,TendPoint,from-scratch,0,0,0,0,0,
Teem/Tend,TendSatin,from-scratch,0,0,0,0,0,
Teem/Tend,TendShrink,from-scratch,0,0,0,0,0,
Teem/Tend,TendSim,from-scratch,0,0,0,0,0,
Teem/Tend,TendSlice,from-scratch,0,0,0,0,0,
Teem/Tend,TendSten,from-scratch,0,0,0,0,0,
Visualization,ChooseColorMap,from-scratch,0,0,0,0,0,
Visualization,ConvertFieldsToTexture,from-scratch,0,0,0,0,0,
Visualization,ConvertNrrdsToTexture,from-scratch,0,0,0,0,0,
Visualization,CreateAndEditColorMap,from-scratch,0,0,0,0,0,
Visualization,CreateAndEditColorMap2D,from-scratch,0,0,0,0,0,
Visualization,CreateLightForViewer,from-scratch,0,0,0,0,0,
Visualization,CreateScaleBar,from-scratch,0,0,0,0,0,
Visualization,CreateStandardColorMaps,from-scratch,0,0,0,0,0,
Visualization,CreateViewerAxes,from-scratch,0,0,0,0,0,
Visualization,CreateViewerClockIcon,from-scratch,0,0,0,0,0,
Visualization,ExtractIsosurface,from-scratch,0,0,0,0,0,
Visualization,GenerateStreamLinesWithPlacementHeuristic,from-scratch,0,0,0,0,0,
Visualization,RescaleColorMap,from-scratch,0,0,0,1,1,
Visualization,ShowColorMap,from-scratch,0,0,0,1,0,
Visualization,ShowFieldGlyphs,from-scratch,0,0,0,1,0,
Visualization,ShowLinePath,from-scratch,0,0,0,0,0,
Visualization,ShowMatrix,from-scratch,0,0,0,0,0,
Visualization,ShowMeshBoundingBox,from-scratch,0,0,0,1,1,
Visualization,ShowPointPath,from-scratch,0,0,0,0,0,
Visualization,ShowString,from-scratch,0,0,0,1,0,
Visualization,ShowTextureSlices,from-scratch,0,0,0,0,0,
Visualization,ShowTextureSurface,from-scratch,0,0,0,0,0,
Visualization,ShowTextureVolume,from-scratch,0,0,0,0,0,
